"log_date","app_name","user_id","payment"
"2013-06-01","game-01",351,1333
"2013-06-01","game-01",12796,81
"2013-06-01","game-01",364,571
"2013-06-01","game-01",13212,648
"2013-06-01","game-01",13212,1142
"2013-06-01","game-01",13212,571
"2013-06-01","game-01",13212,1333
"2013-06-01","game-01",3547,571
"2013-06-01","game-01",12644,81
"2013-06-01","game-01",19,162
"2013-06-01","game-01",1359,81
"2013-06-01","game-01",9757,1333
"2013-06-02","game-01",117,1333
"2013-06-02","game-01",117,571
"2013-06-02","game-01",128,81
"2013-06-02","game-01",364,571
"2013-06-02","game-01",364,162
"2013-06-02","game-01",3,571
"2013-06-02","game-01",7064,571
"2013-06-02","game-01",734,81
"2013-06-02","game-01",734,162
"2013-06-02","game-01",13212,571
"2013-06-02","game-01",13212,1333
"2013-06-02","game-01",4171,0
"2013-06-02","game-01",4171,162
"2013-06-02","game-01",8745,571
"2013-06-02","game-01",8745,324
"2013-06-02","game-01",3547,162
"2013-06-02","game-01",3547,571
"2013-06-02","game-01",435,571
"2013-06-02","game-01",19,571
"2013-06-02","game-01",19,81
"2013-06-02","game-01",19,324
"2013-06-02","game-01",19,1333
"2013-06-02","game-01",19,162
"2013-06-02","game-01",220,162
"2013-06-02","game-01",13444,243
"2013-06-02","game-01",71,571
"2013-06-02","game-01",71,1333
"2013-06-02","game-01",71,1142
"2013-06-02","game-01",246,162
"2013-06-02","game-01",246,81
"2013-06-02","game-01",246,571
"2013-06-02","game-01",246,243
"2013-06-03","game-01",351,333
"2013-06-03","game-01",13015,81
"2013-06-03","game-01",6544,571
"2013-06-03","game-01",11,333
"2013-06-03","game-01",220,162
"2013-06-03","game-01",12972,162
"2013-06-03","game-01",12972,81
"2013-06-03","game-01",340,571
"2013-06-04","game-01",351,1333
"2013-06-04","game-01",351,666
"2013-06-04","game-01",364,571
"2013-06-04","game-01",35,1333
"2013-06-04","game-01",3,1333
"2013-06-04","game-01",3,333
"2013-06-04","game-01",13015,571
"2013-06-04","game-01",435,333
"2013-06-04","game-01",286,2571
"2013-06-04","game-01",286,333
"2013-06-04","game-01",10844,162
"2013-06-04","game-01",10844,486
"2013-06-04","game-01",1359,162
"2013-06-05","game-01",351,81
"2013-06-05","game-01",286,571
"2013-06-05","game-01",2784,81
"2013-06-05","game-01",6544,1333
"2013-06-05","game-01",10844,162
"2013-06-05","game-01",10844,486
"2013-06-05","game-01",10844,81
"2013-06-05","game-01",6459,162
"2013-06-05","game-01",14454,571
"2013-06-05","game-01",14729,162
"2013-06-05","game-01",246,571
"2013-06-06","game-01",364,571
"2013-06-06","game-01",159,81
"2013-06-06","game-01",257,162
"2013-06-06","game-01",183,571
"2013-06-06","game-01",12233,486
"2013-06-06","game-01",220,162
"2013-06-06","game-01",6459,162
"2013-06-06","game-01",14454,571
"2013-06-06","game-01",14454,324
"2013-06-06","game-01",15146,162
"2013-06-06","game-01",13121,162
"2013-06-06","game-01",6482,1333
"2013-06-07","game-01",128,162
"2013-06-07","game-01",351,1333
"2013-06-07","game-01",157,486
"2013-06-07","game-01",3547,571
"2013-06-07","game-01",183,162
"2013-06-07","game-01",10460,81
"2013-06-07","game-01",12897,81
"2013-06-07","game-01",14454,486
"2013-06-07","game-01",1359,81
"2013-06-07","game-01",963,81
"2013-06-07","game-01",963,571
"2013-06-07","game-01",340,1333
"2013-06-08","game-01",15539,162
"2013-06-08","game-01",3,571
"2013-06-08","game-01",257,162
"2013-06-08","game-01",734,81
"2013-06-08","game-01",10487,571
"2013-06-08","game-01",71,1333
"2013-06-08","game-01",14454,81
"2013-06-08","game-01",235,1333
"2013-06-08","game-01",12954,81
"2013-06-08","game-01",246,162
"2013-06-08","game-01",340,1333
"2013-06-08","game-01",340,571
"2013-06-09","game-01",128,81
"2013-06-09","game-01",146,81
"2013-06-09","game-01",3,1333
"2013-06-09","game-01",15634,81
"2013-06-09","game-01",14454,162
"2013-06-09","game-01",14454,571
"2013-06-09","game-01",14454,81
"2013-06-09","game-01",14454,648
"2013-06-09","game-01",340,571
"2013-06-09","game-01",340,1333
"2013-06-10","game-01",117,952
"2013-06-10","game-01",128,333
"2013-06-10","game-01",351,952
"2013-06-10","game-01",351,571
"2013-06-10","game-01",364,333
"2013-06-10","game-01",3,952
"2013-06-10","game-01",159,81
"2013-06-10","game-01",497,81
"2013-06-10","game-01",10287,571
"2013-06-10","game-01",11704,81
"2013-06-10","game-01",15634,162
"2013-06-10","game-01",11,952
"2013-06-10","game-01",220,162
"2013-06-10","game-01",71,571
"2013-06-10","game-01",14454,81
"2013-06-10","game-01",14454,666
"2013-06-10","game-01",1359,162
"2013-06-10","game-01",1359,333
"2013-06-10","game-01",235,952
"2013-06-10","game-01",14729,81
"2013-06-10","game-01",246,81
"2013-06-11","game-01",117,1333
"2013-06-11","game-01",117,571
"2013-06-11","game-01",117,952
"2013-06-11","game-01",351,952
"2013-06-11","game-01",364,571
"2013-06-11","game-01",146,81
"2013-06-11","game-01",13179,333
"2013-06-11","game-01",3,1333
"2013-06-11","game-01",3,952
"2013-06-11","game-01",159,333
"2013-06-11","game-01",16320,162
"2013-06-11","game-01",16521,162
"2013-06-11","game-01",460,571
"2013-06-11","game-01",220,571
"2013-06-11","game-01",12941,81
"2013-06-11","game-01",3880,81
"2013-06-11","game-01",6459,571
"2013-06-11","game-01",1359,81
"2013-06-11","game-01",963,571
"2013-06-11","game-01",6482,952
"2013-06-12","game-01",15803,81
"2013-06-12","game-01",15803,571
"2013-06-12","game-01",128,81
"2013-06-12","game-01",364,162
"2013-06-12","game-01",364,571
"2013-06-12","game-01",14766,81
"2013-06-12","game-01",14766,571
"2013-06-12","game-01",14766,162
"2013-06-12","game-01",16708,81
"2013-06-12","game-01",15634,81
"2013-06-12","game-01",15110,81
"2013-06-12","game-01",15110,571
"2013-06-12","game-01",15647,162
"2013-06-12","game-01",71,1333
"2013-06-12","game-01",14880,81
"2013-06-12","game-01",10384,81
"2013-06-12","game-01",246,162
"2013-06-12","game-01",340,1333
"2013-06-13","game-01",351,1333
"2013-06-13","game-01",364,1333
"2013-06-13","game-01",35,1333
"2013-06-13","game-01",9376,162
"2013-06-13","game-01",15936,81
"2013-06-13","game-01",10460,81
"2013-06-13","game-01",286,571
"2013-06-13","game-01",1359,81
"2013-06-13","game-01",12954,81
"2013-06-13","game-01",16905,571
"2013-06-13","game-01",963,81
"2013-06-13","game-01",963,571
"2013-06-14","game-01",35,1333
"2013-06-14","game-01",35,162
"2013-06-14","game-01",13179,81
"2013-06-14","game-01",257,162
"2013-06-14","game-01",15936,571
"2013-06-14","game-01",535,81
"2013-06-14","game-01",10844,324
"2013-06-14","game-01",71,324
"2013-06-14","game-01",6459,648
"2013-06-14","game-01",1359,0
"2013-06-14","game-01",235,2571
"2013-06-14","game-01",16905,571
"2013-06-14","game-01",16905,81
"2013-06-15","game-01",117,162
"2013-06-15","game-01",15803,324
"2013-06-15","game-01",15803,162
"2013-06-15","game-01",15803,1142
"2013-06-15","game-01",128,81
"2013-06-15","game-01",351,162
"2013-06-15","game-01",351,1333
"2013-06-15","game-01",11335,571
"2013-06-15","game-01",146,571
"2013-06-15","game-01",35,162
"2013-06-15","game-01",13179,81
"2013-06-15","game-01",159,162
"2013-06-15","game-01",13948,81
"2013-06-15","game-01",13015,1333
"2013-06-15","game-01",8177,162
"2013-06-15","game-01",16522,162
"2013-06-15","game-01",10844,162
"2013-06-15","game-01",10844,81
"2013-06-15","game-01",10844,324
"2013-06-15","game-01",6459,162
"2013-06-15","game-01",14454,405
"2013-06-15","game-01",14454,810
"2013-06-15","game-01",14454,571
"2013-06-15","game-01",235,1333
"2013-06-16","game-01",117,1333
"2013-06-16","game-01",117,324
"2013-06-16","game-01",15803,162
"2013-06-16","game-01",128,162
"2013-06-16","game-01",6325,81
"2013-06-16","game-01",351,1333
"2013-06-16","game-01",364,162
"2013-06-16","game-01",11335,571
"2013-06-16","game-01",146,162
"2013-06-16","game-01",35,1333
"2013-06-16","game-01",3,571
"2013-06-16","game-01",1821,81
"2013-06-16","game-01",15936,571
"2013-06-16","game-01",203,162
"2013-06-16","game-01",2784,571
"2013-06-16","game-01",14421,81
"2013-06-16","game-01",6767,81
"2013-06-16","game-01",71,162
"2013-06-16","game-01",71,810
"2013-06-16","game-01",71,81
"2013-06-16","game-01",71,571
"2013-06-16","game-01",71,1142
"2013-06-16","game-01",14454,486
"2013-06-16","game-01",14454,81
"2013-06-16","game-01",1359,162
"2013-06-16","game-01",1359,0
"2013-06-16","game-01",17940,81
"2013-06-16","game-01",17940,1333
"2013-06-16","game-01",16905,81
"2013-06-17","game-01",15803,333
"2013-06-17","game-01",15803,81
"2013-06-17","game-01",364,1333
"2013-06-17","game-01",6637,162
"2013-06-17","game-01",35,162
"2013-06-17","game-01",497,81
"2013-06-17","game-01",203,162
"2013-06-17","game-01",1359,81
"2013-06-17","game-01",340,952
"2013-06-18","game-01",351,81
"2013-06-18","game-01",3,1333
"2013-06-18","game-01",3,952
"2013-06-18","game-01",159,81
"2013-06-18","game-01",1359,81
"2013-06-18","game-01",340,1333
"2013-06-18","game-01",15420,952
"2013-06-19","game-01",351,1333
"2013-06-19","game-01",13179,81
"2013-06-19","game-01",159,81
"2013-06-19","game-01",435,571
"2013-06-19","game-01",18440,162
"2013-06-19","game-01",17099,162
"2013-06-19","game-01",18071,243
"2013-06-19","game-01",11,81
"2013-06-19","game-01",18481,162
"2013-06-19","game-01",8851,81
"2013-06-19","game-01",15420,571
"2013-06-19","game-01",15420,1333
"2013-06-20","game-01",35,162
"2013-06-20","game-01",35,1333
"2013-06-20","game-01",18128,81
"2013-06-20","game-01",435,1333
"2013-06-20","game-01",15093,571
"2013-06-20","game-01",18071,162
"2013-06-20","game-01",18071,81
"2013-06-20","game-01",15110,81
"2013-06-20","game-01",18481,571
"2013-06-20","game-01",5422,1333
"2013-06-20","game-01",18944,81
"2013-06-20","game-01",18944,405
"2013-06-20","game-01",15420,1333
"2013-06-21","game-01",13179,162
"2013-06-21","game-01",734,571
"2013-06-21","game-01",18440,81
"2013-06-21","game-01",19666,162
"2013-06-21","game-01",71,571
"2013-06-21","game-01",18944,81
"2013-06-22","game-01",128,571
"2013-06-22","game-01",351,1333
"2013-06-22","game-01",351,486
"2013-06-22","game-01",364,1333
"2013-06-22","game-01",35,162
"2013-06-22","game-01",35,1333
"2013-06-22","game-01",13179,81
"2013-06-22","game-01",157,162
"2013-06-22","game-01",159,81
"2013-06-22","game-01",3048,81
"2013-06-22","game-01",18657,81
"2013-06-22","game-01",15420,324
"2013-06-22","game-01",15420,571
"2013-06-23","game-01",18986,81
"2013-06-23","game-01",37,810
"2013-06-23","game-01",13179,243
"2013-06-23","game-01",7064,571
"2013-06-23","game-01",7064,324
"2013-06-23","game-01",16320,162
"2013-06-23","game-01",16320,571
"2013-06-23","game-01",16954,81
"2013-06-23","game-01",734,81
"2013-06-23","game-01",734,243
"2013-06-23","game-01",734,162
"2013-06-23","game-01",4171,1333
"2013-06-23","game-01",9829,571
"2013-06-23","game-01",8745,162
"2013-06-23","game-01",186,571
"2013-06-23","game-01",20335,81
"2013-06-23","game-01",20335,571
"2013-06-23","game-01",5422,2571
"2013-06-23","game-01",71,1333
"2013-06-24","game-01",117,571
"2013-06-24","game-01",117,952
"2013-06-24","game-01",351,571
"2013-06-24","game-01",364,162
"2013-06-24","game-01",364,571
"2013-06-24","game-01",13179,333
"2013-06-24","game-01",157,162
"2013-06-24","game-01",19845,81
"2013-06-24","game-01",19845,333
"2013-06-24","game-01",159,333
"2013-06-24","game-01",20810,243
"2013-06-24","game-01",403,333
"2013-06-24","game-01",15110,1142
"2013-06-24","game-01",15110,1333
"2013-06-24","game-01",15110,81
"2013-06-24","game-01",15507,333
"2013-06-24","game-01",18657,81
"2013-06-24","game-01",18657,162
"2013-06-25","game-01",117,0
"2013-06-25","game-01",117,1333
"2013-06-25","game-01",128,333
"2013-06-25","game-01",351,952
"2013-06-25","game-01",20972,1142
"2013-06-25","game-01",20972,243
"2013-06-25","game-01",20972,324
"2013-06-25","game-01",37,952
"2013-06-25","game-01",13179,81
"2013-06-25","game-01",13179,333
"2013-06-25","game-01",3,952
"2013-06-25","game-01",3,1333
"2013-06-25","game-01",281,333
"2013-06-25","game-01",21165,571
"2013-06-25","game-01",21165,81
"2013-06-25","game-01",15110,952
"2013-06-25","game-01",20191,162
"2013-06-25","game-01",235,2571
"2013-06-25","game-01",6482,571
"2013-06-25","game-01",6482,952
"2013-06-26","game-01",351,2571
"2013-06-26","game-01",20972,162
"2013-06-26","game-01",20972,571
"2013-06-26","game-01",20972,405
"2013-06-26","game-01",21254,81
"2013-06-26","game-01",364,1333
"2013-06-26","game-01",364,162
"2013-06-26","game-01",8812,571
"2013-06-26","game-01",13179,81
"2013-06-26","game-01",13179,571
"2013-06-26","game-01",20810,81
"2013-06-26","game-01",9829,162
"2013-06-26","game-01",19892,81
"2013-06-26","game-01",21165,1333
"2013-06-26","game-01",15110,571
"2013-06-26","game-01",15110,2571
"2013-06-26","game-01",11470,81
"2013-06-26","game-01",11470,571
"2013-06-26","game-01",11470,405
"2013-06-26","game-01",21125,405
"2013-06-27","game-01",351,162
"2013-06-27","game-01",20972,571
"2013-06-27","game-01",364,571
"2013-06-27","game-01",21500,162
"2013-06-27","game-01",11335,571
"2013-06-27","game-01",37,810
"2013-06-27","game-01",18799,81
"2013-06-27","game-01",20900,571
"2013-06-27","game-01",11470,571
"2013-06-27","game-01",11470,162
"2013-06-27","game-01",15507,571
"2013-06-27","game-01",6482,1333
"2013-06-27","game-01",21373,486
"2013-06-28","game-01",364,1333
"2013-06-28","game-01",13179,81
"2013-06-28","game-01",159,81
"2013-06-28","game-01",13015,1333
"2013-06-28","game-01",8745,324
"2013-06-28","game-01",10460,81
"2013-06-28","game-01",15110,1333
"2013-06-28","game-01",15110,162
"2013-06-28","game-01",15110,571
"2013-06-28","game-01",15110,2571
"2013-06-28","game-01",14421,81
"2013-06-28","game-01",6767,162
"2013-06-28","game-01",11,571
"2013-06-28","game-01",16531,81
"2013-06-28","game-01",71,571
"2013-06-28","game-01",6459,648
"2013-06-28","game-01",1359,162
"2013-06-28","game-01",3048,81
"2013-06-28","game-01",15507,571
"2013-06-28","game-01",246,162
"2013-06-29","game-01",128,162
"2013-06-29","game-01",351,1333
"2013-06-29","game-01",364,162
"2013-06-29","game-01",13179,162
"2013-06-29","game-01",13179,81
"2013-06-29","game-01",3,571
"2013-06-29","game-01",157,162
"2013-06-29","game-01",13948,162
"2013-06-29","game-01",734,162
"2013-06-29","game-01",9829,162
"2013-06-29","game-01",8745,324
"2013-06-29","game-01",10460,81
"2013-06-29","game-01",10287,81
"2013-06-29","game-01",7575,81
